,SMILES,measurement_type,measurement_value,Kinase_name
978,CC(C)CS(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3ccn(C)c3n2)C1,pKi,9.41,JAK1
981,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N(C)C)ncc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.26,JAK2
982,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N(C)C)ncc2-c2cnc3[nH]ccc3n2)C1,pKi,11.61,JAK1
987,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N)ncc2-c2cnc3[nH]ccc3n2)C1,pIC50,11.94,JAK3
995,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(N3CCOCC3)ncc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.98,JAK3
998,CC(C)CS(=O)(=O)N1CCCC(Nc2nc(S(C)(=O)=O)ncc2-c2cnc3[nH]ccc3n2)C1,pKi,12.03,JAK1
1003,CSc1ncc(-c2cnc3[nH]ccc3n2)c(NC2CCCN(S(=O)(=O)CC(C)C)C2)n1,pIC50,11.05,JAK3
1007,CC(C)CS(=O)(=O)N1CCCC(Nc2ncncc2-c2cnc3[nH]ccc3n2)C1,pIC50,11.71,JAK3
1015,CC(C)CS(=O)(=O)NC1CC(N(C)c2ncnc3[nH]ccc23)C1,pIC50,6.32,TYK2
1019,CC(C)Cc1cc(-c2ccc3[nH]nc(N)c3c2)on1,pKi,6.5,JAK3
1022,CC(C)Cn1cc(-c2ccn(C)n2)c2[nH]nc(N)c2c1=O,pIC50,7.14,TYK2
1025,CC(C)N(CCC(=O)c1ccc2ccccc2c1)Cc1ccccc1,pIC50,7.1,JAK3
1026,CC(C)N(CCOc1ccc(-c2oc3nccc(NCCN4CCNCC4)c3c2-c2ccccc2)cc1)C(C)C,pIC50,7.36,JAK1
1033,CC(C)NC(=O)N1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,pIC50,8.0,JAK1
1036,CC(C)NC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CC1,pIC50,7.23,JAK2
1048,CC(C)NC(=O)c1c[nH]c2ncc(Oc3ccc(C#N)cc3)nc12,pIC50,6.38,JAK3
1053,CC(C)NC(=O)c1c[nH]c2ncc(Oc3ccc4c(c3)CCC4)nc12,pIC50,6.43,JAK1
1055,CC(C)NC(=O)c1c[nH]c2ncc(Oc3cccc(C#N)c3)nc12,pIC50,6.01,JAK1
1065,CC(C)NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.27,JAK2
1069,CC(C)NS(=O)(=O)c1ccc(Nc2nn(C3CCCCC3C#N)cc2C(N)=O)cc1,pIC50,9.52,JAK1
1073,CC(C)OC(=O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cc1,pIC50,7.7,JAK2
1078,CC(C)OCc1ccc2c(c1)c1c3c(c4c5ccccc5n5c4c1n2CC(CO)C5)C(=O)NC3,pIC50,7.1,JAK3
1082,CC(C)Oc1cc(-n2cnc3ccc(NC(C)c4ccc(F)cn4)nc32)n[nH]1,pIC50,8.52,JAK2
1090,CC(C)Oc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCNCC4)nc12,pIC50,7.25,JAK2
1092,CC(C)S(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.38,JAK1
1094,CC(C)S(=O)(=O)N1CCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,9.38,JAK3
1099,CC(C)S(=O)(=O)N1CCCC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,9.14,JAK3
1104,CC(C)S(=O)(=O)c1ccc(Nc2nn(C3(CC#N)CCC(N4CCC(F)(F)CC4)CC3)cc2C(N)=O)cc1,pIC50,7.19,JAK1
1108,CC(C)S(=O)(=O)c1ccc(-c2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,pIC50,8.9,JAK2
1118,CC(C)c1ccc(NC(=O)N2CC(CC#N)(n3cc(C(N)=O)c(Nc4ccccc4)n3)C2)cc1,pIC50,8.3,JAK1
1130,CC(NC(=O)c1c[nH]c2ncc(C3CC3)nc12)C1CC1,pIC50,8.07,JAK3
1131,CC(=O)NC1CCc2ccc(Oc3cnc4[nH]cc(C(=O)NC(C)C5CC5)c4n3)cc21,pIC50,7.08,JAK2
1134,CC(NC(=O)c1c[nH]c2ncc(Oc3ccccc3)nc12)C1CC1,pIC50,7.15,JAK2
1136,CC(NC(=O)c1c[nH]c2ncc(Oc3ccccc3)nc12)C1CC1,pIC50,7.52,JAK3
1140,CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)C(C#N)C1)C1CC1,pIC50,8.7,JAK1
1148,CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1)C1CC1,pIC50,9.82,JAK1
1151,CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(OC(F)F)nc3)n2)C(C#N)C1)C1CC1,pIC50,6.84,JAK2
1154,CC(Nc1ncc(C(N)=O)c2[nH]c3cc(-c4cnn(C)c4)ccc3c12)C1CC1,pIC50,6.85,JAK1
1167,CC(CC#N)(C1CC1)n1cc(C(N)=O)c(Nc2ccccc2)n1,pIC50,6.38,JAK2
1171,CC(CC#N)n1cc(C(N)=O)c(Nc2ccc(S(C)(=O)=O)cc2)n1,pIC50,7.35,JAK2
1173,CC(CC#N)n1cc(C(N)=O)c(Nc2ccccc2)n1,pIC50,6.38,JAK2
1178,CC(CF)(CF)C(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CC1,pIC50,8.52,JAK1
1186,CC(O)CN1CCN(c2cccc(Nc3nc4c(-c5ccc(S(C)(=O)=O)cc5)cccn4n3)c2)CC1,pIC50,7.27,JAK1
1189,CC(F)(F)CNC1CCN(C(=O)Cn2cc(NC(=O)c3cnn4cccnc34)c(-c3cc(Cl)ccc3OC(F)F)n2)CC1,pKi,9.51,JAK1
1194,CC(O)CNCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,7.06,TYK2
1197,CC(CO)OC(=O)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,pIC50,8.1,JAK2
1202,COCC(C)N(C)C1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,8.7,JAK1
1206,COCC(C)Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C,pIC50,6.9,JAK1
1210,COCC(C)Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1,pIC50,7.29,JAK3
1211,COCC(C)Nc1ccnc(-n2cnc3ccc(C#N)cc32)n1,pIC50,6.91,JAK2
1224,CNC(C)Cn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1,pKi,8.95,JAK1
1227,CC(NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1)c1ccc(F)c(F)c1,pIC50,7.96,JAK2
1229,CC(NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1)c1ccc(F)c(F)c1,pIC50,7.14,TYK2
1231,CC(Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(Cl)cc1,pIC50,8.1,JAK2
1239,CC(Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1,pIC50,9.14,JAK2
1244,CC(Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,pIC50,7.08,JAK1
1245,CC(Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccc(F)cc1,pIC50,7.08,JAK3
1246,CC(Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1,pIC50,9.7,JAK2
1259,CC(O)(c1ccc(Nc2nn(C3COCCC3C#N)cc2C(N)=O)cc1)C(F)F,pIC50,9.7,JAK2
1264,CC(O)c1ccc(Nc2nn(C3(CC#N)CCN(C(=O)OC(C)(C)C)CC3)cc2C(N)=O)cn1,pIC50,9.3,JAK1
1273,CC(c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,pIC50,6.82,JAK2
1274,CC(c1ccccc1)N(C)c1ccnc(-n2cnc3ccncc32)n1,pIC50,6.07,JAK1
1276,CC(c1ccccc1)N1CCC(CC#N)(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)CC1,pIC50,6.98,JAK2
1284,CC(NCCn1cc(NC(=O)c2cnn3cccnc23)c(-c2cc(Cl)ccc2OC(F)F)n1)c1ccccc1,pKi,9.64,JAK2
1286,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)N1CCN(C)CC1)n2C)c1ccccc1,pIC50,7.96,JAK2
1300,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NCCN(C)C)n2C)c1ccccc1,pIC50,7.47,JAK3
1301,COCCNC(=O)c1cc2c(NC(C)c3ccccc3)nc(-n3cnc4ccncc43)nc2n1C,pIC50,7.6,JAK2
1312,CC(Nc1nc(-n2cnc3ccncc32)nc2c1cc(C(=O)NS(=O)(=O)c1ccccc1)n2C)c1ccccc1,pIC50,6.84,JAK3
1318,CC(Nc1cc(N(C)C)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.72,JAK3
1319,CC(Nc1cc(N2CCC(O)C2)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.23,JAK2
1322,CC(Nc1cc(N2CCN(C)CC2)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.72,JAK2
1326,COc1ccc(-c2cc(NC(C)c3ccccc3)nc(-n3cnc4ccncc43)n2)cc1OC,pIC50,7.31,JAK1
1327,COc1ccc(-c2cc(NC(C)c3ccccc3)nc(-n3cnc4ccncc43)n2)cc1OC,pIC50,7.31,JAK3
1332,CC(Nc1cc(-c2ccc(N(C)C)cc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.21,JAK1
1334,CC(Nc1cc(-c2cccc(C#N)c2)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.25,JAK2
1340,CC(Nc1cc(-c2ccoc2)nc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.8,JAK2
1351,CC(Nc1ccnc(-n2cnc3cnccc32)n1)c1ccccc1,pIC50,6.15,JAK3
1355,CC(Nc1nccc(-n2cnc3ccncc32)n1)c1ccccc1,pIC50,7.31,JAK2
1361,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(NCC(F)(F)F)C1,pKi,8.92,JAK1
1368,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CC#N)CC1,pKi,10.0,JAK1
1369,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CC#N)CC1,pKi,9.4,TYK2
1372,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(CCC#N)CC1,pKi,8.77,TYK2
1374,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(NCC(F)(F)F)CC1,pKi,9.1,JAK1
1375,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCC(NCC(F)(F)F)CC1,pKi,8.47,TYK2
1378,CC(O)c1nc2cnc3[nH]ccc3c2n1C1CCCCC1,pKi,9.1,JAK1
1385,CC(Nc1nc(Nc2cn(C)cn2)c2ccn(C3CC3)c2n1)c1ncc(F)cn1,pIC50,7.57,JAK2
1386,CC(Nc1nc(Nc2cn(C)cn2)c2ccn(C3CC3)c2n1)c1ncc(F)cn1,pIC50,7.54,JAK1
1390,COc1cc(Nc2cc(N3CCOCC3)nc(NC(C)c3ncc(F)cn3)n2)n[nH]1,pIC50,6.7,JAK3
1393,COc1cc(Nc2cc(N3CCOCC3)nc(NC(C)c3ncc(F)cn3)n2)[nH]n1,pIC50,6.7,JAK3
1396,CC(Nc1nc(Nc2cn(C)cn2)c2cc[nH]c2n1)c1ncc(F)cn1,pIC50,8.52,JAK2
1400,CC(Nc1nc(Nc2cn(C)cn2)c2cccnc2n1)c1ncc(F)cn1,pIC50,6.88,JAK1
1405,CC(Nc1ncc2ncn(-c3cc(C4CC4)[nH]n3)c2n1)c1ncc(F)cn1,pIC50,7.92,JAK2
1406,COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC,pIC50,8.22,JAK2
1409,Cn1nccc1-c1cc2c(NC3CC(O)C(O)C3(C)C)c(C(N)=O)cnn2c1,pIC50,8.25,JAK1
1411,CC1(C(N)=O)CCC(Nc2c(C(N)=O)cnn3cc(-c4ccc(C#N)nc4)cc23)C1(C)C,pIC50,9.0,JAK1
1418,CC1(C(N)=O)CCC(Nc2c(C(N)=O)cnn3cc(-c4ccccc4)cc23)C1(C)C,pIC50,9.4,JAK3
1427,COc1cncc(-c2cc3c(NC4CCC(C)(N)C4(C)C)c(C(N)=O)cnn3c2)c1,pIC50,8.39,JAK1
1432,CN(C)C(=O)c1ccc(-c2cc3c(NC4CCC(C)(N)C4(C)C)c(C(N)=O)cnn3c2)cc1,pIC50,9.1,JAK3
1436,CC1(N)CCC(Nc2c(C(N)=O)cnn3cc(-c4ccc(CO)cc4)cc23)C1(C)C,pIC50,9.52,JAK3
1442,CC1(N)CCC(Nc2c(C(N)=O)cnn3cc(-c4ccccc4C(N)=O)cc23)C1(C)C,pIC50,8.22,JAK3
1444,CC1(N)CCC(Nc2c(C(N)=O)cnn3cc(-c4cccnc4)cc23)C1(C)C,pIC50,9.3,JAK3
1446,COc1ncc(-c2cc3c(NC4CCC(C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1,pIC50,8.08,JAK3
1450,CC1(N)CCC(Nc2c(C(N)=O)cnn3cccc23)C1(C)C,pIC50,8.3,JAK3
1452,COc1ccc(-c2cc3c(NC4CCC(C)(NS(C)(=O)=O)C4(C)C)c(C(N)=O)cnn3c2)cn1,pIC50,8.77,JAK3
1458,CC1(O)CCC(Nc2c(C(N)=O)cnn3cc(NS(=O)(=O)c4ccc(Cl)cc4)cc23)C1(C)C,pIC50,7.63,JAK3
1467,CC1(O)CCC(Nc2c(C(N)=O)cnn3cccc23)C1(C)C,pIC50,8.15,JAK2
1471,CC1(C)C(N)CCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,6.96,JAK2
1479,CN(c1ncnc2[nH]ccc12)C1CC(NS(=O)(=O)C2CC(C)(CC#N)C2)C1,pIC50,6.12,JAK2
1485,CC1(C)CC(CN2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccnc(F)c4)n3)CC2)CCO1,pIC50,6.91,JAK2
1491,CC1(COC(=O)N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)CC1,pIC50,7.14,JAK2
1496,CC1(NC2CCC(n3cc(C(N)=O)c(Nc4ccccc4)n3)C(C#N)C2)CC1,pIC50,7.62,JAK2
1509,CC1(O)CCC(n2cc(C(N)=O)c(Nc3ccc(C(C)(O)C(F)(F)F)cc3)n2)C(C#N)C1,pIC50,9.6,JAK1
1512,CC1(O)CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,pIC50,8.05,JAK2
1516,CC1(O)CCC(N=C(O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1,pIC50,6.73,JAK2
1517,CC1(O)CCC(NC(=O)c2cnn3ccc(N4CCCC4c4cc(F)ccc4F)nc23)CC1,pIC50,6.73,JAK2
1519,[C-]#[N+]c1ccc(-c2cc3c(NC4CCC(C)(O)CC4)c(C(N)=O)cnn3c2)cc1,pIC50,8.8,JAK3
1521,CC1(O)CCC(Nc2c(C(N)=O)cnn3cc(-c4ccccc4C(N)=O)cc23)CC1,pIC50,7.47,JAK3
1523,Cn1nccc1-c1cc2c(NC3CCC(C)(O)CC3)c(C(N)=O)cnn2c1,pIC50,7.2,JAK3
1527,CC1(O)CCC(Nc2c(C(N)=O)cnn3cc(-c4cncnc4N)cc23)CC1,pIC50,7.96,JAK3
1530,CC1(C#N)CCC(O)CC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,pIC50,7.66,JAK2
1537,CC1(F)CCCC1Nc1c(C(N)=O)cnn2cc(N3CCOC3=O)cc12,pIC50,8.17,JAK1
1540,CC1(F)CCCC1Nc1c(C(N)=O)cnn2cc(N3CCOCC3=O)cc12,pIC50,8.15,JAK3
1543,CC1(C)CCCC1Nc1c(C(N)=O)cnn2cc(-c3ccccc3)cc12,pIC50,9.3,JAK1
1545,CC1(C#N)CCCC1Nc1c(C(N)=O)cnn2cc(-c3ccccc3)cc12,pIC50,9.7,JAK1
1547,CC1(F)CCCC1Nc1c(C(N)=O)cnn2cc(-c3cncc4ccccc34)cc12,pIC50,7.33,JAK1
1553,CC1(C#N)CCCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,8.22,JAK2
1560,CC1(CO)CCCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,7.62,JAK3
1561,CC1(F)CCCC1Nc1c(C(N)=O)cnn2cccc12,pIC50,8.7,JAK2
1584,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(C)(O)C2)CC1,pIC50,10.44,JAK2
1600,CC1(n2nnc3cnc4[nH]ccc4c32)CCN(CCC#N)CC1,pKi,6.81,JAK1
1601,COC(=O)C1(C)CCN(CCN2CCN(C(=O)Cn3cc(NC(=O)c4cnn5cccnc45)c(-c4cc(Cl)ccc4OC(F)F)n3)CC2)CC1,pKi,8.65,JAK2
1605,CC1(n2nnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1,pKi,6.63,TYK2
1606,CC1(n2nnc3cnc4[nH]ccc4c32)CCN(S(C)(=O)=O)CC1,pKi,6.43,JAK3
1609,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CCC(C)(O)CC2)CC1,pIC50,8.11,JAK3
1627,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(C(F)(F)F)cc4)n3)C(C#N)C2)C1,pIC50,9.12,JAK1
1631,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)C1,pIC50,9.0,JAK1
1635,CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccnc(F)c4)n3)C(C#N)C2)C1,pIC50,9.0,JAK1
1642,CC1(C)CN(C(=O)CC#N)C12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,6.89,JAK3
1647,CN(c1ncnc2[nH]ccc12)C1CCC(CS(=O)(=O)N2CC(C)(CO)C(C)(CO)C2)CC1,pIC50,7.84,JAK3
1651,CC1(C)CN(c2ccc(C#N)cn2)CCC1Nc1c(C(N)=O)cnn2cc(N3CC(c4ccccc4)CC3=O)cc12,pIC50,7.94,JAK3
1652,CC1(C)CN(c2ncc(C#N)cn2)CCC1Nc1c(C(N)=O)cnn2cc(N3CCC(CCCC(=O)O)C3=O)cc12,pIC50,8.85,JAK1
1657,COc1ccc(-c2cc3c(NC4CCN(C(=O)C(N)=O)CC4(C)C)c(C(N)=O)cnn3c2)cn1,pIC50,9.05,JAK3
1667,CN(CC1(C)COC1)C1CCN(c2nc(-c3cc(Cl)ccc3OC(F)F)c(NC(=O)c3cnn4cccnc34)s2)CC1,pKi,8.91,JAK1
1675,CC1(CNC(=O)C2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)COC1,pIC50,8.05,JAK1
1678,CC1(CNC2CCC(n3cc(C(N)=O)c(Nc4ccc(Cl)cc4)n3)C(C#N)C2)COC1,pIC50,7.33,JAK2
1684,CC1(COC(=O)N2CCC(CC#N)(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)CC2)COC1,pIC50,6.62,JAK2
1699,CC1(C#N)CS(=O)(=O)CC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,pIC50,9.3,JAK1
1709,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,pKi,9.1,JAK2
1710,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,pIC50,9.0,JAK1
1712,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,pIC50,9.82,JAK3
1713,CNC1CC2OC(C)(C1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,pKi,8.7,JAK3
1720,CC1=NOC(CN2CCC(C#N)C(n3cc(C(N)=O)c(Nc4ccc(F)cc4)n3)C2)C1,pIC50,8.22,JAK1
1732,CC(=O)N1CC2CC(Nc3c(C(N)=O)cnn4cc(-c5cnn(C)c5)cc34)C(C)C2C1,pIC50,9.4,JAK3
1743,CC1C(Nc2c(C(N)=O)cnn3cc(-c4nnn(C)n4)cc23)CC2CN(S(C)(=O)=O)CC21,pIC50,9.4,JAK1
1748,CC1N(c2ncnc3[nH]ccc23)CCC12CCN2C(=O)CC#N,pIC50,6.89,JAK3
1749,CC1CC(C#N)C(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CO1,pIC50,7.6,JAK2
1750,CC1CC(C#N)C(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)CO1,pIC50,8.3,JAK1
1755,CC1CC(CS(=O)(=O)N2CCC(CO)CC2)CCC1N(C)c1ncnc2[nH]ccc12,pIC50,8.13,JAK1
1760,CC1CC(CC#N)(n2cc(C(N)=O)c(Nc3ccccc3)n2)CCN1C(=O)OC(C)(C)C,pIC50,7.68,JAK2
1766,CC1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)C(C)C)C1,pIC50,9.65,JAK2
1778,CC1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,pIC50,10.48,JAK2
1781,CC1CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,pKi,11.59,JAK3
1784,CC1CC(Nc2nc(N3CCN(C)CC3)ncc2-c2cnc3[nH]ccc3n2)CN(S(=O)(=O)CC#N)C1,pIC50,11.38,JAK3
1787,CC(C)CS(=O)(=O)N1CC(C)CC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,pIC50,8.3,JAK1
1788,CC(C)CS(=O)(=O)N1CC(C)CC(NC(=O)Nc2cnc3[nH]ccc3n2)C1,pIC50,8.3,JAK3
1789,CC(C)CS(=O)(=O)N1CC(C)CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pIC50,10.15,JAK2
1793,CC(C)CS(=O)(=O)N1CC(C)CC(Nc2ncccc2-c2cnc3[nH]ccc3n2)C1,pKi,11.46,JAK3
1801,CC1CC1NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,8.28,JAK1
1802,CC1CC1NCC1CCC(c2nnn3cnc4[nH]ccc4c23)CC1,pIC50,6.85,TYK2
1805,CC1CC2(CCCN2C(=O)CC#N)CN1c1ncnc2[nH]ccc12,pIC50,7.0,JAK3
1816,CC1CCC(n2c(=O)[nH]c3cnc4[nH]ccc4c32)CC1,pIC50,7.64,JAK2
1820,C=C(C)C1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,pIC50,8.7,JAK3
1821,CC1CCC(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,pIC50,7.92,JAK2
1830,CC(COCC(=O)NCc1ccccc1)C1CCC(C)C(N(C)c2ncnc3[nH]ccc23)C1,pIC50,7.89,JAK3
1831,C=CC(=O)N1CC(Nc2ncnc3[nH]ccc23)CCC1C,pKi,8.2,JAK1
1836,CC1CCC2(CCN2C(=O)CC#N)CN1c1ncnc2[nH]ccc12,pIC50,6.39,JAK1
1837,CC1CCC2(CCN2C(=O)CC#N)CN1c1ncnc2[nH]ccc12,pIC50,6.39,JAK3
1852,CC1CCCCC1n1c(=O)[nH]c2cnc3[nH]ccc3c21,pIC50,8.36,JAK2
1856,CC1CCCCC1n1c(-c2ccc(C=C(C#N)C(=O)N(C)C)o2)nc2cnc3[nH]ccc3c21,pIC50,9.81,JAK1
1857,CC1CCCCC1n1c(-c2ccc(C=C(C#N)C(=O)N(C)C)o2)nc2cnc3[nH]ccc3c21,pIC50,6.05,TYK2
1858,CC1CCCCC1n1c(-c2ccc(C=C(C#N)C(=O)N(C)C)o2)nc2cnc3[nH]ccc3c21,pIC50,9.81,JAK3
1877,CC1CCN(C(=O)C(C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,pIC50,6.87,JAK2
1878,CC1CCN(C(=O)C(C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,pIC50,7.09,JAK1
1879,CC1CCN(C(=O)C(C)NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C1,pIC50,7.09,JAK3
1880,CC1CCN(C(=O)CC#N)C12CCCN(c1ncnc3[nH]ccc13)C2,pIC50,7.85,JAK1
1882,CC1CCN(C(=O)CC#N)C12CCN(c1ncnc3[nH]ccc13)C2,pIC50,8.23,JAK1
1883,CC1CCN(C(=O)CC#N)C12CCN(c1ncnc3[nH]ccc13)C2,pIC50,8.23,JAK3
1885,CC1CCN(C(=O)CC#N)C12CN(c1ncnc3[nH]ccc13)CC2(F)F,pIC50,6.85,JAK3
1887,CC1CCN(S(=O)(=O)CC2CCC(N(C)c3ncnc4[nH]ccc34)CC2)CC1,pIC50,7.79,JAK1
1897,CC1CCN(C(=O)C2CCN(Cc3ccccc3)C2=O)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.93,JAK1
1898,CC1CCN(C(=O)C2CCN(Cc3ccccc3)C2=O)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.93,JAK3
1901,CC1CCN(C(=O)C2Cc3cc(Cl)ccc3O2)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.32,JAK1
1903,CC1CCN(C(=O)CC#N)CC1N(C)c1ncnc2[nH]ccc12,pIC50,9.22,JAK2
1912,CC1CCN(C(=O)CC(F)(F)F)CC1N(C)c1ncnc2[nH]ccc12,pIC50,7.72,JAK3
1917,CC1CCN(C(=O)CO)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.32,JAK2
1918,CC1CCN(C(=O)CO)CC1N(C)c1ncnc2[nH]ccc12,pKi,6.5,JAK2
1923,CC1CCN(C(=O)CS(C)(=O)=O)CC1N(C)c1ncnc2[nH]ccc12,pIC50,6.83,JAK3
1927,CC1CCN(Cc2cccc(F)c2F)CC1N(C)c1ncnc2[nH]ccc12,pIC50,7.38,JAK3
1939,CC1CCN(C(=O)OC(C)(C)C)CC1c1nnn2cnc3[nH]ccc3c12,pIC50,6.7,JAK1
1940,CC1CCN(C(=O)OC(C)(C)C)CC1c1nnn2cnc3[nH]ccc3c12,pIC50,6.36,JAK3
1944,CC1CCN(C(=O)CC#N)CC1n1c(=O)[nH]c2cnc3[nH]ccc3c21,pIC50,8.96,JAK1
1945,CC1CCN(C(=O)CC#N)CC1n1c(=O)[nH]c2cnc3[nH]ccc3c21,pIC50,8.96,JAK3
1948,CC1CCN(C(=O)CC#N)CC1n1c(=O)n(C)c2cnc3[nH]ccc3c21,pIC50,8.3,JAK3
1949,CC1CCN(C(=O)CC#N)CC1n1cnc2cnc3[nH]ccc3c21,pKi,9.52,JAK2
1953,CC1CCN(Cc2ccccc2)CC1n1cnc2cnc3[nH]ccc3c21,pKi,7.6,JAK2
